experimento,distancia_km,qber_media,qber_ic95_bajo,qber_ic95_alto,tasa_tamizada_media_bps,tasa_tamizada_ic95_bajo_bps,tasa_tamizada_ic95_alto_bps,proxy_asintotico_monofotonico_media_bps,proxy_asintotico_monofotonico_ic95_bajo_bps,proxy_asintotico_monofotonico_ic95_alto_bps,ganancia_clic_observada_media,ganancia_clic_observada_ic95_bajo,ganancia_clic_observada_ic95_alto,fraccion_tamizado_resuelta_media,fraccion_tamizado_resuelta_ic95_bajo,fraccion_tamizado_resuelta_ic95_alto,p_deteccion_analitica,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps,ic95_tasa_tamizada_no_supera_referencia_analitica,repeticiones,corridas_completas,corridas_incompletas,corridas_contabilidad_consistente,corridas_punto_diagnostico,claves_por_repeticion,horizonte_s,eficiencia_detector,conteos_oscuros_hz,visibilidad,mu
distancia,1.0,0.002023654513888889,0.0018286137416703237,0.002239451750488021,825493.5760067165,821268.1658109282,829718.9862025047,788161.8731625635,783346.0171806111,792977.7291445159,0.06823048377403847,0.06809129389503901,0.06836967365303792,0.4540730740286639,0.45263449723204513,0.4555116508252827,0.009504767281551918,2.9999995498908305e-07,380190.6912620767,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
distancia,8.615384615384615,0.0021864149305555556,0.001983307509889902,0.0024102720314827675,691891.6372388343,690048.142584223,693735.1318934456,658583.2460278213,654372.4799858733,662794.0120697693,0.05021785120810233,0.05011023027786001,0.050325472138344644,0.4538528935025875,0.4526320853766212,0.4550737016285538,0.006702736074518767,2.9999995498908305e-07,268109.4429807507,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
distancia,16.23076923076923,0.0021104600694444443,0.0019110781811223529,0.0023305948039502983,571052.9884326179,568601.2104563661,573504.7664088696,544352.3120064051,540414.1634684259,548290.4605443843,0.035557620262595596,0.035495645736379,0.035619594788812194,0.454598578408148,0.45300030442804673,0.45619685238824925,0.004724807532118569,2.9999995498908305e-07,188992.30128474275,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
distancia,23.846153846153847,0.0019911024305555554,0.0017977135978511187,0.0022052490844643603,458552.27288287715,456909.4072464785,460195.1385192758,438126.4878949128,435909.1129731333,440343.8628166923,0.026324881747219052,0.026275077748355236,0.026374685746082868,0.4542173707731306,0.4531189115279704,0.45531583001829085,0.003329599300439967,2.9999995498908305e-07,133183.9720175987,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
distancia,31.46153846153846,0.00185546875,0.0016691133306638245,0.002062587643973051,361173.5799187832,360159.3071616879,362187.85267587856,346035.48146057595,344361.0729849003,347709.88993625157,0.018579504504954984,0.018539453512335637,0.018619555497574332,0.4535018523813807,0.4524409711104514,0.45456273365231,0.0023459286363143317,2.9999995498908305e-07,93837.14545257327,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
distancia,39.07692307692307,0.0020616319444444445,0.0018646806653134242,0.0022793381049949295,278248.8826200975,277093.59184211516,279404.1733980798,265468.55285327445,263802.45634691766,267134.64935963124,0.013461154882788408,0.013436878774263356,0.01348543099131346,0.45484371010041497,0.4533086898459262,0.4563787303549037,0.0016526511889471962,2.9999995498908305e-07,66106.04755788785,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
distancia,46.69230769230769,0.0019639756944444444,0.0017719738528877023,0.0021767364878920565,210345.5651389871,209606.8626699672,211084.26760800698,201083.94148381628,199968.41504001443,202199.46792761813,0.00947992490913458,0.00945550780987629,0.009504342008392872,0.4547659076014741,0.45301301306882436,0.4565188021341239,0.0011641603259513467,2.9999995498908305e-07,46566.41303805387,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
distancia,54.30769230769231,0.0018120659722222223,0.0016280153457034106,0.0020168818824763124,156155.2372159652,155402.11778163063,156908.35665029977,149745.11318809667,148907.5064354369,150582.71994075645,0.006739784959559884,0.006723454936801775,0.006756114982317993,0.4538242066814142,0.4520957392518853,0.45555267411094313,0.0008200245872174161,2.9999995498908305e-07,32800.98348869664,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
distancia,61.92307692307692,0.0019856770833333332,0.0017925648871486236,0.0021995473268597117,115015.22242694184,114517.84008304898,115512.60477083469,109905.35873153273,109212.23115272523,110598.48631034023,0.004784338625840405,0.004776471016176111,0.0047922062355046985,0.45518752754780223,0.45347459878841523,0.45690045630718923,0.0005776151289290654,2.9999995498908305e-07,23104.605157162616,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
distancia,69.53846153846153,0.0021484375,0.0019471845832092541,0.0023704416800134063,83658.43228265068,83207.76521556744,84109.09934973392,79676.16598119536,79125.84495472426,80226.48700766645,0.0033886327114454754,0.003379424196757407,0.0033978412261335437,0.4526662915941767,0.45079316636364586,0.45453941682470755,0.0004068765599088975,2.9999995498908305e-07,16275.0623963559,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
distancia,77.15384615384615,0.001980251736111111,0.0017874165557430796,0.002193845189958111,60294.25147093632,59994.728211286965,60593.77473058567,57614.704556260534,57319.139691080665,57910.269421440404,0.0023880318598315632,0.002381814167783864,0.0023942495518792625,0.45509937930281275,0.4535028750643168,0.4566958835413087,0.00028662598553141905,2.9999995498908305e-07,11465.039421256763,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
distancia,84.76923076923076,0.0019368489583333334,0.001746243747764163,0.0021482142514798754,43105.74630142307,42941.482096002626,43270.01050684351,41231.86559335839,40994.57149866345,41469.159688053325,0.0016827621196405106,0.0016790666713456328,0.0016864575679353883,0.45424244371474143,0.4524200767610817,0.45606481066840115,0.00020193757488495834,2.9999995498908305e-07,8077.502995398334,False,30,30,0,30,0,3,2.0,0.1,100.0,0.98,0.1
