experimento,distancia_km_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps
distancia,1.0,0,10000,10001,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0052169999639999996,49070.34728129816,49070.34728129273,1803,855,921,3579,2.9999995498908305e-07,380190.6912620767
distancia,1.0,1,10002,10003,1.0,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.005120999967,49990.236604115955,42872.87013581054,1764,979,914,3657,2.9999995498908305e-07,380190.6912620767
distancia,1.0,2,10004,10005,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0052169999639999996,49070.34728129816,49070.34728129273,1782,861,943,3586,2.9999995498908305e-07,380190.6912620767
distancia,1.0,3,10006,10007,1.0,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005152999966,49679.7985036121,45722.855535889,1785,934,879,3598,2.9999995498908305e-07,380190.6912620767
distancia,1.0,4,10008,10009,1.0,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.0053769999589999996,47610.19191966113,43818.09090913161,1818,939,1003,3760,2.9999995498908305e-07,380190.6912620767
distancia,1.0,5,10010,10011,1.0,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005248999963,48771.1948570269,44886.621200736125,1806,891,911,3608,2.9999995498908305e-07,380190.6912620767
distancia,1.0,6,10012,10013,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005120999967,49990.236604115955,49990.23660411042,1782,871,885,3538,2.9999995498908305e-07,380190.6912620767
distancia,1.0,7,10014,10015,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0052169999639999996,49070.34728129816,49070.34728129273,1737,888,912,3537,2.9999995498908305e-07,380190.6912620767
distancia,1.0,8,10016,10017,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005184999965,49373.192232991656,49373.192232986185,1797,908,877,3582,2.9999995498908305e-07,380190.6912620767
distancia,1.0,9,10018,10019,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005120999967,49990.236604115955,49990.23660411042,1800,904,891,3595,2.9999995498908305e-07,380190.6912620767
distancia,1.0,10,10020,10021,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005184999965,49373.192232991656,49373.192232986185,1822,895,893,3610,2.9999995498908305e-07,380190.6912620767
distancia,1.0,11,10022,10023,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005184999965,49373.192232991656,49373.192232986185,1781,910,859,3550,2.9999995498908305e-07,380190.6912620767
distancia,1.0,12,10024,10025,1.0,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.0052169999639999996,49070.34728129816,42083.950175522965,1780,817,943,3540,2.9999995498908305e-07,380190.6912620767
distancia,1.0,13,10026,10027,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005120999967,49990.236604115955,49990.23660411042,1790,956,919,3665,2.9999995498908305e-07,380190.6912620767
distancia,1.0,14,10028,10029,1.0,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005248999963,48771.1948570269,44886.621200736125,1784,940,931,3655,2.9999995498908305e-07,380190.6912620767
distancia,1.0,15,10030,10031,1.0,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005120999967,49990.236604115955,46008.56757276736,1820,895,823,3538,2.9999995498908305e-07,380190.6912620767
distancia,1.0,16,10032,10033,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005152999966,49679.7985036121,49679.798503606595,1729,886,865,3480,2.9999995498908305e-07,380190.6912620767
distancia,1.0,17,10034,10035,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005152999966,49679.7985036121,49679.798503606595,1814,853,943,3610,2.9999995498908305e-07,380190.6912620767
