experimento,distancia_km,variable,qber_media,qber_ic95_bajo,qber_ic95_alto,tasa_tamizada_media_bps,tasa_tamizada_ic95_bajo_bps,tasa_tamizada_ic95_alto_bps,proxy_asintotico_monofotonico_media_bps,proxy_asintotico_monofotonico_ic95_bajo_bps,proxy_asintotico_monofotonico_ic95_alto_bps,referencia_tasa_tamizada_bps,ic95_tasa_tamizada_no_supera_referencia_analitica,repeticiones,corridas_completas,corridas_incompletas,claves_por_repeticion,horizonte_s,parametro_fijo
eficiencia_detector,5.0,0.05,0.0020616319444444445,0.0018646806653134242,0.0022793381049949295,1454204.0293538058,1442304.8882730138,1466103.1704345979,1387367.0959019428,1376453.2846862846,1398280.907117601,158562.5379473088,False,30,30,0,3,2.5,conteos_oscuros_hz=100
eficiencia_detector,5.0,0.12272727272727273,0.0021484375,0.0019471845832092541,0.0023704416800134063,1460348.5196150031,1446346.8382536294,1474350.200976377,1391048.8120659995,1375247.9102576976,1406849.7138743014,388060.30268486944,False,30,30,0,3,2.5,conteos_oscuros_hz=100
eficiencia_detector,5.0,0.19545454545454544,0.0023003472222222223,0.002091771259030345,0.0025296681167923524,1463420.7647456017,1448615.646441397,1478225.8830498063,1389654.8549398878,1374339.102244015,1404970.6076357604,616236.096445113,False,30,30,0,3,2.5,conteos_oscuros_hz=100
eficiencia_detector,5.0,0.2681818181818182,0.002018229166666667,0.001823462787208064,0.002233752236643137,1469565.2550067992,1453524.3138330125,1485606.196180586,1403732.1244853472,1384814.4854935303,1422649.763477164,843097.5341486669,False,30,30,0,3,2.5,conteos_oscuros_hz=100
eficiencia_detector,5.0,0.3409090909090909,0.002018229166666667,0.001823462787208064,0.002233752236643137,1457276.2744844044,1444230.9780996863,1470321.5708691224,1391466.3190863729,1379156.4601685065,1403776.1780042392,1068652.186852117,False,30,30,0,3,2.5,conteos_oscuros_hz=100
eficiencia_detector,5.0,0.41363636363636364,0.002143012152777778,0.0019420255038694462,0.0023647502910460706,1451131.784223207,1440630.523202177,1461633.0452442372,1382169.765782091,1370837.8338966412,1393501.697667541,1292907.5820006463,False,30,30,0,3,2.5,conteos_oscuros_hz=100
eficiencia_detector,5.0,0.48636363636363633,0.002197265625,0.0019936313210271433,0.0024216491569598146,1454204.0293538056,1442304.8882730135,1466103.1704345976,1383649.2679103238,1371609.6110082387,1395688.9248124089,1515871.203679251,True,30,30,0,3,2.5,conteos_oscuros_hz=100
eficiencia_detector,5.0,0.5590909090909091,0.002175564236111111,0.0019729850127464177,0.002398893592011964,1466493.0098762007,1451013.568706271,1481972.4510461304,1395922.0077406105,1380962.9551811845,1410881.0603000366,1737550.4928625363,True,30,30,0,3,2.5,conteos_oscuros_hz=100
eficiencia_detector,5.0,0.6318181818181818,0.001980251736111111,0.0017874165557430796,0.002193845189958111,1460348.5196150031,1446346.8382536294,1474350.200976377,1395555.3810005998,1380764.812031599,1410345.9499696007,1957952.8476629981,True,30,30,0,3,2.5,conteos_oscuros_hz=100
eficiencia_detector,5.0,0.7045454545454546,0.0019097222222222222,0.0017205234847736158,0.002119682172934701,1460348.5196150031,1446346.8382536294,1474350.200976377,1397879.148884751,1381005.3996265153,1414752.8981429865,2177085.6235779678,True,30,30,0,3,2.5,conteos_oscuros_hz=100
eficiencia_detector,5.0,0.7772727272727273,0.0019097222222222222,0.0017205234847736158,0.002119682172934701,1457276.2744844044,1444230.9780996863,1470321.5708691224,1394609.73567118,1380863.0731134126,1408356.3982289475,2394956.133735051,True,30,30,0,3,2.5,conteos_oscuros_hz=100
eficiencia_detector,5.0,0.85,0.002202690972222222,0.0019987937163146747,0.0024273372299794278,1472637.5001373978,1456136.36040633,1489138.6398684655,1401262.1008390414,1383056.7342313493,1419467.4674467335,2611571.6491362127,True,30,30,0,3,2.5,conteos_oscuros_hz=100
conteos_oscuros,5.0,1.0,0.001828342013888889,0.0016434238815428433,0.002034024751558312,1472637.5001373983,1456136.3604063306,1489138.639868466,1411696.4037233968,1395751.9525235158,1427640.8549232779,2611560.5447713453,True,30,30,0,3,2.5,eficiencia_detector=0.85
conteos_oscuros,5.0,2.3101297000831598,0.0023274739583333333,0.002117616138330214,0.0025580755790282034,1454204.0293538056,1442304.8882730135,1466103.1704345976,1380090.298335445,1367600.4004481966,1392580.1962226937,2611560.6917224545,True,30,30,0,3,2.5,eficiencia_detector=0.85
conteos_oscuros,5.0,5.3366992312063095,0.0021592881944444446,0.0019575037522351654,0.0023818234476017833,1454204.0293538056,1442304.8882730135,1466103.1704345976,1384798.7715936,1371692.3561053593,1397905.1870818408,2611561.0311985905,True,30,30,0,3,2.5,eficiencia_detector=0.85
conteos_oscuros,5.0,12.32846739442066,0.002001953125,0.0018080121509890515,0.0022166514679407157,1478781.9903985958,1461633.5029603941,1495930.4778367975,1412654.3083622656,1394131.0092458087,1431177.6074787225,2611561.8154324726,True,30,30,0,3,2.5,eficiencia_detector=0.85
conteos_oscuros,5.0,28.48035868435802,0.002023654513888889,0.0018286137416703237,0.002239451750488021,1463420.7647456017,1448615.646441397,1478225.8830498063,1397369.2448323234,1381781.0763854738,1412957.413279173,2611563.627114397,True,30,30,0,3,2.5,eficiencia_detector=0.85
conteos_oscuros,5.0,65.79332246575683,0.002099609375,0.0019007651632861444,0.0023192068851722184,1472637.5001373983,1456136.3604063306,1489138.639868466,1404010.154248614,1386701.4587699266,1421318.8497273016,2611567.812334279,True,30,30,0,3,2.5,eficiencia_detector=0.85
conteos_oscuros,5.0,151.99110829529332,0.0021375868055555558,0.0019368667630096908,0.0023590585635986814,1463420.764745602,1448615.6464413973,1478225.8830498066,1393986.7803932312,1379887.1938171862,1408086.3669692762,2611577.4807332405,True,30,30,0,3,2.5,eficiencia_detector=0.85
conteos_oscuros,5.0,351.1191734215131,0.0021213107638888887,0.0019213925841869706,0.002341981337499969,1469565.2550067992,1453524.3138330125,1485606.196180586,1400416.5543923758,1384490.4451013897,1416342.6636833618,2611599.8159792707,True,30,30,0,3,2.5,eficiencia_detector=0.85
conteos_oscuros,5.0,811.1308307896873,0.0019911024305555554,0.0017977135978511187,0.0022052490844643603,1469565.2550067992,1453524.3138330125,1485606.196180586,1404108.5964710345,1389150.7512953556,1419066.4416467133,2611651.41324347,True,30,30,0,3,2.5,eficiencia_detector=0.85
