experimento,distancia_km,variable,error_fase,qber_media,qber_ic95_bajo,qber_ic95_alto,tasa_tamizada_media_bps,tasa_tamizada_ic95_bajo_bps,tasa_tamizada_ic95_alto_bps,indicador_ideal_media_bps,indicador_ideal_ic95_bajo_bps,indicador_ideal_ic95_alto_bps,referencia_tasa_tamizada_bps,margen_referencia_confirmado,repeticiones,claves_por_repeticion,horizonte_s,eficiencia_detector,conteos_oscuros_hz
visibilidad,30.0,0.82,0.09000000000000002,0.0173828125,0.01598053183776859,0.018905778204459954,65468.75516600037,64959.46276822146,65978.04756377927,47639.258876377855,46607.24293963731,48671.2748131184,150453.52108594033,True,30,4,2.5,0.15,200.0
visibilidad,30.0,0.8362727272727273,0.08186363636363636,0.01845703125,0.01701100301054803,0.0200234759085594,64836.48353270244,64296.23009234245,65376.736973062434,46351.46942957526,44994.36605347876,47708.57280567176,150453.52108594033,True,30,4,2.5,0.15,200.0
visibilidad,30.0,0.8525454545454545,0.07372727272727275,0.015364583333333333,0.01404850912455076,0.01680184727020835,65435.54428079382,64991.95037652403,65879.13818506362,49391.98730716164,47854.59728730079,50929.377327022485,150453.52108594033,True,30,4,2.5,0.15,200.0
visibilidad,30.0,0.8688181818181818,0.06559090909090909,0.012825520833333333,0.011626773700708682,0.014146092621427592,64673.09071211821,64236.60774769991,65109.57367653651,50891.55959035726,50031.42329185064,51751.695888863884,150453.52108594033,True,30,4,2.5,0.15,200.0
visibilidad,30.0,0.885090909090909,0.05745454545454548,0.011165364583333334,0.010049974933676653,0.012402994033283151,65188.73718033046,64568.616191854664,65808.85816880625,52839.160515214564,51583.04203929904,54095.278991130086,150453.52108594033,True,30,4,2.5,0.15,200.0
visibilidad,30.0,0.9013636363636364,0.04931818181818182,0.01123046875,0.010111694279867706,0.012471466740236272,65285.26901582251,64744.4885353427,65826.04949630232,52862.896192761254,51587.682359102226,54138.11002642028,150453.52108594033,True,30,4,2.5,0.15,200.0
visibilidad,30.0,0.9176363636363636,0.04118181818181821,0.008365885416666666,0.0074070465783842515,0.009447664103376014,65575.48667700254,64988.119927611806,66162.85342639327,55784.31509533642,54647.65617093507,56920.97401973776,150453.52108594033,True,30,4,2.5,0.15,200.0
visibilidad,30.0,0.9339090909090909,0.033045454545454545,0.007194010416666666,0.006308628359069993,0.008202625366095118,65162.32501433339,64614.71009374261,65709.93993492419,56606.480528942506,55476.265288338385,57736.695769546626,150453.52108594033,True,30,4,2.5,0.15,200.0
visibilidad,30.0,0.9501818181818181,0.024909090909090936,0.005631510416666667,0.004854290859619272,0.0065323535900856326,65382.329103104654,64849.74573065534,65914.91247555397,58413.73483312514,57313.49788295266,59513.971783297624,150453.52108594033,True,30,4,2.5,0.15,200.0
visibilidad,30.0,0.9664545454545455,0.016772727272727272,0.004036458333333334,0.0033867855748684434,0.004810153572804167,65772.9024202115,65226.79506838789,66319.0097720351,60458.11333725859,59576.87312736113,61339.35354715605,150453.52108594033,True,30,4,2.5,0.15,200.0
visibilidad,30.0,0.9827272727272727,0.008636363636363664,0.00185546875,0.0014325295095556755,0.0024029758577870626,65191.657158970105,64697.04568571868,65686.26863222153,62566.30587568588,61745.93984930287,63386.67190206889,150453.52108594033,True,30,4,2.5,0.15,200.0
visibilidad,30.0,0.999,0.0005000000000000004,0.00026041666666666666,0.000131965305389195,0.0005138347599212488,65525.73667132095,64984.58184268377,66066.89149995812,65145.827994455256,64498.72687216201,65792.9291167485,150453.52108594033,True,30,4,2.5,0.15,200.0
