experimento,visibilidad_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps
visibilidad,0.82,0,40000,40001,30.0,0.1,0.15,200.0,0.82,4,1024,16,0.015625,0.00670999994,152608.04905461744,114332.64362114112,4743,2089,2072,8904,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,1,40002,40003,30.0,0.1,0.15,200.0,0.82,4,1024,17,0.0166015625,0.006645999942,154077.64203077086,113505.57843589428,4669,2155,2070,8894,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,2,40004,40005,30.0,0.1,0.15,200.0,0.82,4,1024,21,0.0205078125,0.0067419999389999995,151883.71540565212,104549.17451323367,4798,2163,2076,9037,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,3,40006,40007,30.0,0.1,0.15,200.0,0.82,4,1024,14,0.013671875,0.006677999941,153339.32450539386,118809.06295752348,4698,2039,2043,8780,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,4,40008,40009,30.0,0.1,0.15,200.0,0.82,4,1024,15,0.0146484375,0.00670999994,152608.04905461744,116271.83088953579,4554,2094,2140,8788,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,5,40010,40011,30.0,0.1,0.15,200.0,0.82,4,1024,23,0.0224609375,0.006677999941,153339.32450539386,101986.89604656649,4639,2170,2058,8867,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,6,40012,40013,30.0,0.1,0.15,200.0,0.82,4,1024,19,0.0185546875,0.006677999941,153339.32450539386,109206.2700191074,4647,2072,2083,8802,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,7,40014,40015,30.0,0.1,0.15,200.0,0.82,4,1024,17,0.0166015625,0.006773999938,151166.2251804408,111360.80227428397,4559,2071,2105,8735,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,8,40016,40017,30.0,0.1,0.15,200.0,0.82,4,1024,23,0.0224609375,0.00670999994,152608.04905461744,101500.52039817815,4646,2121,2072,8839,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,9,40018,40019,30.0,0.1,0.15,200.0,0.82,4,1024,30,0.029296875,0.006677999941,153339.32450539386,90126.21791386191,4632,2091,2143,8866,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,10,40020,40021,30.0,0.1,0.15,200.0,0.82,4,1024,22,0.021484375,0.006645999942,154077.64203077086,104257.76563539695,4607,2061,2047,8715,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,11,40022,40023,30.0,0.1,0.15,200.0,0.82,4,1024,16,0.015625,0.006773999938,151166.2251804408,113252.44152045314,4660,2136,2065,8861,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,12,40024,40025,30.0,0.1,0.15,200.0,0.82,4,1024,21,0.0205078125,0.0067419999389999995,151883.71540565212,104549.17451323367,4716,2178,2026,8920,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,13,40026,40027,30.0,0.1,0.15,200.0,0.82,4,1024,19,0.0185546875,0.006645999942,154077.64203077086,109732.09014578549,4603,2105,2151,8859,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,14,40028,40029,30.0,0.1,0.15,200.0,0.82,4,1024,22,0.021484375,0.00670999994,152608.04905461744,103263.35477819659,4751,2067,2070,8888,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,15,40030,40031,30.0,0.1,0.15,200.0,0.82,4,1024,18,0.017578125,0.006613999943,154823.10384410596,112145.54241188253,4678,1957,1986,8621,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,16,40032,40033,30.0,0.1,0.15,200.0,0.82,4,1024,16,0.015625,0.00670999994,152608.04905461744,114332.64362114112,4779,2128,2083,8990,5.999998200501011e-07,150453.52108594033
