experimento,distancia_km,repeticion,mu,nu,y0,semilla_alice_mu,semilla_bob_mu,semilla_alice_nu,semilla_bob_nu,bits_tamizados_mu,errores_mu,qber_mu,claves_completadas_mu,tiempo_hasta_ultima_clave_s_mu,clics_detector_0_mu,clics_detector_1_mu,clics_detector_2_mu,bits_tamizados_nu,errores_nu,qber_nu,claves_completadas_nu,tiempo_hasta_ultima_clave_s_nu,clics_detector_0_nu,clics_detector_1_nu,clics_detector_2_nu,e1_cota_superior,e1_fallback_conservador,tasa_sin_senuelos_bps,tasa_con_senuelos_bps,clics_mu,clics_nu
estados_senuelo,5.0,0,0.1,0.05,2.3999997122992056e-07,50000,50001,60000,60001,256,0,0.0,1,0.005380999962,1760,866,819,256,0,0.0,1,0.006404999965,1169,546,570,0.5,True,192313.37153108986,0.0,3445,2285
estados_senuelo,5.0,1,0.1,0.05,2.3999997122992056e-07,50002,50003,60002,60003,256,1,0.00390625,1,0.005348999963,1819,894,829,256,2,0.0078125,1,0.006020999971,1146,569,592,0.008188222152215725,False,163546.11337586964,304356.5509379206,3542,2307
estados_senuelo,5.0,2,0.1,0.05,2.3999997122992056e-07,50004,50005,60004,60005,256,1,0.00390625,1,0.005380999962,1829,881,869,256,1,0.00390625,1,0.006404999965,1204,585,609,0.0040814918109778955,False,163546.11337586964,314770.36655786016,3579,2398
estados_senuelo,5.0,3,0.1,0.05,2.3999997122992056e-07,50006,50007,60006,60007,256,0,0.0,1,0.005252999966,1793,881,842,256,1,0.00390625,1,0.006404999965,1148,592,578,0.0040814918109778955,False,192313.37153108986,331002.22075901215,3516,2318
estados_senuelo,5.0,4,0.1,0.05,2.3999997122992056e-07,50008,50009,60008,60009,256,0,0.0,1,0.005188999968,1720,869,824,256,0,0.0,1,0.0063409999659999996,1153,594,552,0.5,True,192313.37153108986,0.0,3413,2299
estados_senuelo,5.0,5,0.1,0.05,2.3999997122992056e-07,50010,50011,60010,60011,256,2,0.0078125,1,0.0052849999649999995,1843,831,790,256,0,0.0,1,0.006404999965,1072,616,544,0.5,True,141208.8472103128,0.0,3464,2232
estados_senuelo,5.0,6,0.1,0.05,2.3999997122992056e-07,50012,50013,60012,60013,256,1,0.00390625,1,0.005316999964,1737,866,902,256,0,0.0,1,0.0065329999629999995,1117,632,620,0.5,True,163546.11337586964,0.0,3505,2369
estados_senuelo,5.0,7,0.1,0.05,2.3999997122992056e-07,50014,50015,60014,60015,256,1,0.00390625,1,0.005316999964,1773,839,859,256,1,0.00390625,1,0.006468999964,1168,575,586,0.0040814918109778955,False,163546.11337586964,314770.36655786016,3471,2329
estados_senuelo,5.0,8,0.1,0.05,2.3999997122992056e-07,50016,50017,60016,60017,256,0,0.0,1,0.005188999968,1741,856,839,256,2,0.0078125,1,0.0063409999659999996,1200,598,568,0.008188222152215725,False,192313.37153108986,320588.40513907257,3436,2366
estados_senuelo,5.0,9,0.1,0.05,2.3999997122992056e-07,50018,50019,60018,60019,256,1,0.00390625,1,0.005316999964,1748,887,869,256,1,0.00390625,1,0.006596999962,1177,591,636,0.0040814918109778955,False,163546.11337586964,314770.36655786016,3504,2404
estados_senuelo,5.0,10,0.1,0.05,2.3999997122992056e-07,50020,50021,60020,60021,256,3,0.01171875,1,0.005156999969,1687,836,803,256,1,0.00390625,1,0.0063409999659999996,1158,585,570,0.0040814918109778955,False,121315.10791772128,290511.90618857625,3326,2313
estados_senuelo,5.0,11,0.1,0.05,2.3999997122992056e-07,50022,50023,60022,60023,256,1,0.00390625,1,0.0052849999649999995,1810,881,875,256,0,0.0,1,0.006468999964,1184,564,562,0.5,True,163546.11337586964,0.0,3566,2310
estados_senuelo,5.0,12,0.1,0.05,2.3999997122992056e-07,50024,50025,60024,60025,256,0,0.0,1,0.0052849999649999995,1727,858,818,256,0,0.0,1,0.0063409999659999996,1202,596,622,0.5,True,192313.37153108986,0.0,3403,2420
estados_senuelo,5.0,13,0.1,0.05,2.3999997122992056e-07,50026,50027,60026,60027,256,0,0.0,1,0.0051249999699999995,1727,833,751,256,1,0.00390625,1,0.006468999964,1151,615,631,0.0040814918109778955,False,192313.37153108986,331002.22075901215,3311,2397
estados_senuelo,5.0,14,0.1,0.05,2.3999997122992056e-07,50028,50029,60028,60029,256,2,0.0078125,1,0.005348999963,1779,862,857,256,1,0.00390625,1,0.006212999968,1103,591,567,0.0040814918109778955,False,141208.8472103128,301987.23887573817,3498,2261
estados_senuelo,5.0,15,0.1,0.05,2.3999997122992056e-07,50030,50031,60030,60031,256,1,0.00390625,1,0.005252999966,1731,885,827,256,1,0.00390625,1,0.006212999968,1134,570,587,0.0040814918109778955,False,163546.11337586964,314770.36655786016,3443,2291
estados_senuelo,5.0,16,0.1,0.05,2.3999997122992056e-07,50032,50033,60032,60033,256,2,0.0078125,1,0.005412999961,1804,882,910,256,0,0.0,1,0.006404999965,1181,560,580,0.5,True,141208.8472103128,0.0,3596,2321
estados_senuelo,5.0,17,0.1,0.05,2.3999997122992056e-07,50034,50035,60034,60035,256,0,0.0,1,0.005188999968,1691,853,835,256,0,0.0,1,0.0063409999659999996,1141,586,563,0.5,True,192313.37153108986,0.0,3379,2290
estados_senuelo,5.0,18,0.1,0.05,2.3999997122992056e-07,50036,50037,60036,60037,256,2,0.0078125,1,0.005316999964,1796,870,831,256,2,0.0078125,1,0.006468999964,1140,549,603,0.008188222152215725,False,141208.8472103128,291573.4232557986,3497,2292
estados_senuelo,5.0,19,0.1,0.05,2.3999997122992056e-07,50038,50039,60038,60039,256,2,0.0078125,1,0.0052849999649999995,1705,842,870,256,0,0.0,1,0.0063409999659999996,1149,573,589,0.5,True,141208.8472103128,0.0,3417,2311
estados_senuelo,5.0,20,0.1,0.05,2.3999997122992056e-07,50040,50041,60040,60041,256,2,0.0078125,1,0.005252999966,1783,770,844,256,0,0.0,1,0.006468999964,1173,658,530,0.5,True,141208.8472103128,0.0,3397,2361
estados_senuelo,5.0,21,0.1,0.05,2.3999997122992056e-07,50042,50043,60042,60043,256,0,0.0,1,0.005252999966,1699,920,870,256,0,0.0,1,0.006468999964,1207,629,635,0.5,True,192313.37153108986,0.0,3489,2471
estados_senuelo,5.0,22,0.1,0.05,2.3999997122992056e-07,50044,50045,60044,60045,256,0,0.0,1,0.005220999967,1693,845,835,256,0,0.0,1,0.006404999965,1152,556,596,0.5,True,192313.37153108986,0.0,3373,2304
estados_senuelo,5.0,23,0.1,0.05,2.3999997122992056e-07,50046,50047,60046,60047,256,0,0.0,1,0.005220999967,1748,898,838,256,0,0.0,1,0.006404999965,1175,589,565,0.5,True,192313.37153108986,0.0,3484,2329
estados_senuelo,5.0,24,0.1,0.05,2.3999997122992056e-07,50048,50049,60048,60049,256,1,0.00390625,1,0.005188999968,1773,842,839,256,2,0.0078125,1,0.006276999967,1151,571,544,0.008188222152215725,False,163546.11337586964,304356.5509379206,3454,2266
estados_senuelo,5.0,25,0.1,0.05,2.3999997122992056e-07,50050,50051,60050,60051,256,1,0.00390625,1,0.0052849999649999995,1729,855,805,256,1,0.00390625,1,0.006468999964,1150,636,612,0.0040814918109778955,False,163546.11337586964,314770.36655786016,3389,2398
estados_senuelo,5.0,26,0.1,0.05,2.3999997122992056e-07,50052,50053,60052,60053,256,1,0.00390625,1,0.005220999967,1757,911,849,256,0,0.0,1,0.006468999964,1148,632,582,0.5,True,163546.11337586964,0.0,3517,2362
estados_senuelo,5.0,27,0.1,0.05,2.3999997122992056e-07,50054,50055,60054,60055,256,0,0.0,1,0.0052849999649999995,1755,854,829,256,1,0.00390625,1,0.0063409999659999996,1172,596,628,0.0040814918109778955,False,192313.37153108986,331002.22075901215,3438,2396
estados_senuelo,5.0,28,0.1,0.05,2.3999997122992056e-07,50056,50057,60056,60057,256,1,0.00390625,1,0.005220999967,1669,810,842,256,0,0.0,1,0.0065329999629999995,1193,649,602,0.5,True,163546.11337586964,0.0,3321,2444
estados_senuelo,5.0,29,0.1,0.05,2.3999997122992056e-07,50058,50059,60058,60059,256,1,0.00390625,1,0.005348999963,1772,930,867,256,0,0.0,1,0.0063409999659999996,1168,607,583,0.5,True,163546.11337586964,0.0,3569,2358
estados_senuelo,14.444444444444445,0,0.1,0.05,2.3999997122992056e-07,50200,50201,60200,60201,256,1,0.00390625,1,0.005841111065,1328,655,641,256,0,0.0,1,0.007665111059,949,493,485,0.5,True,41284.93613509606,0.0,2624,1927
estados_senuelo,14.444444444444445,1,0.1,0.05,2.3999997122992056e-07,50202,50203,60202,60203,256,1,0.00390625,1,0.00600111106,1318,686,683,256,0,0.0,1,0.007729111058,941,505,505,0.5,True,41284.93613509606,0.0,2687,1951
estados_senuelo,14.444444444444445,2,0.1,0.05,2.3999997122992056e-07,50204,50205,60204,60205,256,1,0.00390625,1,0.0060651110579999995,1308,664,635,256,0,0.0,1,0.007729111058,918,530,469,0.5,True,41284.93613509606,0.0,2607,1917
estados_senuelo,14.444444444444445,3,0.1,0.05,2.3999997122992056e-07,50206,50207,60206,60207,256,1,0.00390625,1,0.005841111065,1345,636,628,256,3,0.01171875,1,0.007537111061,978,494,511,0.012292928504280678,False,41284.93613509606,190938.07627765616,2609,1983
estados_senuelo,14.444444444444445,4,0.1,0.05,2.3999997122992056e-07,50208,50209,60208,60209,256,1,0.00390625,1,0.006257111052,1361,693,661,256,0,0.0,1,0.0077931110569999995,1006,537,525,0.5,True,41284.93613509606,0.0,2715,2068
estados_senuelo,14.444444444444445,5,0.1,0.05,2.3999997122992056e-07,50210,50211,60210,60211,256,0,0.0,1,0.006033111059,1383,605,674,256,0,0.0,1,0.007985111054,925,529,478,0.5,True,58891.4961655821,0.0,2662,1932
estados_senuelo,14.444444444444445,6,0.1,0.05,2.3999997122992056e-07,50212,50213,60212,60213,256,0,0.0,1,0.006033111059,1365,690,664,256,1,0.00390625,1,0.007665111059,943,554,476,0.0040716473256879855,False,58891.4961655821,214259.77542274402,2719,1973
estados_senuelo,14.444444444444445,7,0.1,0.05,2.3999997122992056e-07,50214,50215,60214,60215,256,0,0.0,1,0.006257111052,1334,734,652,256,0,0.0,1,0.007473111062,971,475,477,0.5,True,58891.4961655821,0.0,2720,1923
estados_senuelo,14.444444444444445,8,0.1,0.05,2.3999997122992056e-07,50216,50217,60216,60217,256,0,0.0,1,0.006129111056,1437,732,685,256,0,0.0,1,0.007921111054999999,975,493,524,0.5,True,58891.4961655821,0.0,2854,1992
estados_senuelo,14.444444444444445,9,0.1,0.05,2.3999997122992056e-07,50218,50219,60218,60219,256,2,0.0078125,1,0.005937111062,1329,621,675,256,0,0.0,1,0.0077931110569999995,1039,515,518,0.5,True,27859.849127338824,0.0,2625,2072
estados_senuelo,14.444444444444445,10,0.1,0.05,2.3999997122992056e-07,50220,50221,60220,60221,256,0,0.0,1,0.006161111055,1331,684,675,256,0,0.0,1,0.007729111058,985,487,540,0.5,True,58891.4961655821,0.0,2690,2012
estados_senuelo,14.444444444444445,11,0.1,0.05,2.3999997122992056e-07,50222,50223,60222,60223,256,0,0.0,1,0.006097111057,1390,702,705,256,0,0.0,1,0.007665111059,958,482,472,0.5,True,58891.4961655821,0.0,2797,1912
estados_senuelo,14.444444444444445,12,0.1,0.05,2.3999997122992056e-07,50224,50225,60224,60225,256,0,0.0,1,0.006129111056,1394,675,697,256,0,0.0,1,0.007665111059,977,490,501,0.5,True,58891.4961655821,0.0,2766,1968
estados_senuelo,14.444444444444445,13,0.1,0.05,2.3999997122992056e-07,50226,50227,60226,60227,256,0,0.0,1,0.006353111049,1426,668,736,256,1,0.00390625,1,0.007921111054999999,955,507,477,0.0040716473256879855,False,58891.4961655821,214259.77542274402,2830,1939
estados_senuelo,14.444444444444445,14,0.1,0.05,2.3999997122992056e-07,50228,50229,60228,60229,256,2,0.0078125,1,0.006097111057,1402,688,665,256,1,0.00390625,1,0.008177111051,1003,503,534,0.0040716473256879855,False,27859.849127338824,195446.32596926604,2755,2040
estados_senuelo,14.444444444444445,15,0.1,0.05,2.3999997122992056e-07,50230,50231,60230,60231,256,3,0.01171875,1,0.006193111054,1340,674,683,256,2,0.0078125,1,0.00824111105,989,505,529,0.008182287914984331,False,16031.696463802113,181257.03994350915,2697,2023
estados_senuelo,14.444444444444445,16,0.1,0.05,2.3999997122992056e-07,50232,50233,60232,60233,256,0,0.0,1,0.006097111057,1377,676,684,256,1,0.00390625,1,0.0076011110599999996,973,495,474,0.0040716473256879855,False,58891.4961655821,214259.77542274402,2737,1942
estados_senuelo,14.444444444444445,17,0.1,0.05,2.3999997122992056e-07,50234,50235,60234,60235,256,0,0.0,1,0.0059051110629999995,1318,642,723,256,1,0.00390625,1,0.008049111053,972,498,507,0.0040716473256879855,False,58891.4961655821,214259.77542274402,2683,1977
estados_senuelo,14.444444444444445,18,0.1,0.05,2.3999997122992056e-07,50236,50237,60236,60237,256,1,0.00390625,1,0.006161111055,1371,717,657,256,2,0.0078125,1,0.007665111059,1017,499,485,0.008182287914984331,False,41284.93613509606,196986.33868347525,2745,2001
estados_senuelo,14.444444444444445,19,0.1,0.05,2.3999997122992056e-07,50238,50239,60238,60239,256,1,0.00390625,1,0.00600111106,1309,681,663,256,0,0.0,1,0.007921111054999999,995,526,510,0.5,True,41284.93613509606,0.0,2653,2031
estados_senuelo,14.444444444444445,20,0.1,0.05,2.3999997122992056e-07,50240,50241,60240,60241,256,0,0.0,1,0.006097111057,1386,645,645,256,0,0.0,1,0.007409111063,908,501,489,0.5,True,58891.4961655821,0.0,2676,1898
estados_senuelo,14.444444444444445,21,0.1,0.05,2.3999997122992056e-07,50242,50243,60242,60243,256,1,0.00390625,1,0.0059051110629999995,1377,647,668,256,0,0.0,1,0.007857111056,963,519,498,0.5,True,41284.93613509606,0.0,2692,1980
estados_senuelo,14.444444444444445,22,0.1,0.05,2.3999997122992056e-07,50244,50245,60244,60245,256,2,0.0078125,1,0.006129111056,1383,741,654,256,1,0.00390625,1,0.007985111054,949,481,510,0.0040716473256879855,False,27859.849127338824,195446.32596926604,2778,1940
estados_senuelo,14.444444444444445,23,0.1,0.05,2.3999997122992056e-07,50246,50247,60246,60247,256,0,0.0,1,0.00600111106,1345,679,671,256,0,0.0,1,0.008049111053,1013,475,551,0.5,True,58891.4961655821,0.0,2695,2039
estados_senuelo,14.444444444444445,24,0.1,0.05,2.3999997122992056e-07,50248,50249,60248,60249,256,1,0.00390625,1,0.006033111059,1400,672,657,256,0,0.0,1,0.007857111056,958,494,500,0.5,True,41284.93613509606,0.0,2729,1952
estados_senuelo,14.444444444444445,25,0.1,0.05,2.3999997122992056e-07,50250,50251,60250,60251,256,0,0.0,1,0.006097111057,1371,650,659,256,1,0.00390625,1,0.007537111061,920,481,509,0.0040716473256879855,False,58891.4961655821,214259.77542274402,2680,1910
estados_senuelo,14.444444444444445,26,0.1,0.05,2.3999997122992056e-07,50252,50253,60252,60253,256,0,0.0,1,0.0062251110529999995,1368,682,732,256,1,0.00390625,1,0.007729111058,904,448,456,0.0040716473256879855,False,58891.4961655821,214259.77542274402,2782,1808
estados_senuelo,14.444444444444445,27,0.1,0.05,2.3999997122992056e-07,50254,50255,60254,60255,256,1,0.00390625,1,0.006289111051,1397,728,692,256,2,0.0078125,1,0.007537111061,918,505,481,0.008182287914984331,False,41284.93613509606,196986.33868347525,2817,1904
estados_senuelo,14.444444444444445,28,0.1,0.05,2.3999997122992056e-07,50256,50257,60256,60257,256,0,0.0,1,0.006129111056,1349,714,655,256,0,0.0,1,0.007729111058,948,504,482,0.5,True,58891.4961655821,0.0,2718,1934
estados_senuelo,14.444444444444445,29,0.1,0.05,2.3999997122992056e-07,50258,50259,60258,60259,256,2,0.0078125,1,0.005969111061,1288,674,650,256,0,0.0,1,0.007729111058,909,511,517,0.5,True,27859.849127338824,0.0,2612,1937
estados_senuelo,23.88888888888889,0,0.1,0.05,2.3999997122992056e-07,50400,50401,60400,60401,256,1,0.00390625,1,0.007069222143999999,1086,542,536,256,0,0.0,1,0.009949222137,818,464,458,0.5,True,0.0,0.0,2164,1740
estados_senuelo,23.88888888888889,1,0.1,0.05,2.3999997122992056e-07,50402,50403,60402,60403,256,0,0.0,1,0.007421222133,1073,521,586,256,2,0.0078125,1,0.00975722214,856,463,430,0.008166308047398922,False,0.0,134332.29508546213,2180,1749
estados_senuelo,23.88888888888889,2,0.1,0.05,2.3999997122992056e-07,50404,50405,60404,60405,256,1,0.00390625,1,0.007293222137,1153,566,550,256,0,0.0,1,0.009885222138,815,476,500,0.5,True,0.0,0.0,2269,1791
estados_senuelo,23.88888888888889,3,0.1,0.05,2.3999997122992056e-07,50406,50407,60406,60407,256,1,0.00390625,1,0.00719722214,1057,547,586,256,2,0.0078125,1,0.009693222141,816,393,451,0.008166308047398922,False,0.0,127511.94419448299,2190,1660
estados_senuelo,23.88888888888889,4,0.1,0.05,2.3999997122992056e-07,50408,50409,60408,60409,256,0,0.0,1,0.007133222142,1118,563,567,256,1,0.00390625,1,0.009565222142999999,792,448,432,0.004053032831097068,False,0.0,138705.85195442353,2248,1672
estados_senuelo,23.88888888888889,5,0.1,0.05,2.3999997122992056e-07,50410,50411,60410,60411,256,1,0.00390625,1,0.007133222142,1079,538,534,256,0,0.0,1,0.009693222141,819,416,432,0.5,True,0.0,0.0,2151,1667
estados_senuelo,23.88888888888889,6,0.1,0.05,2.3999997122992056e-07,50412,50413,60412,60413,256,0,0.0,1,0.007357222135,1088,508,569,256,0,0.0,1,0.009373222145999999,813,441,397,0.5,True,0.0,0.0,2165,1651
estados_senuelo,23.88888888888889,7,0.1,0.05,2.3999997122992056e-07,50414,50415,60414,60415,256,1,0.00390625,1,0.00751722213,1129,625,547,256,2,0.0078125,1,0.009949222137,827,439,413,0.008166308047398922,False,0.0,127511.94419448299,2301,1679
estados_senuelo,23.88888888888889,8,0.1,0.05,2.3999997122992056e-07,50416,50417,60416,60417,256,2,0.0078125,1,0.00719722214,1112,558,535,256,0,0.0,1,0.009501222144,782,433,432,0.5,True,0.0,0.0,2205,1647
estados_senuelo,23.88888888888889,9,0.1,0.05,2.3999997122992056e-07,50418,50419,60418,60419,256,1,0.00390625,1,0.006973222147,1082,545,558,256,2,0.0078125,1,0.010077222135,858,453,470,0.008166308047398922,False,0.0,127511.94419448299,2185,1781
estados_senuelo,23.88888888888889,10,0.1,0.05,2.3999997122992056e-07,50420,50421,60420,60421,256,0,0.0,1,0.007581222128,1127,591,606,256,0,0.0,1,0.009629222142,824,413,440,0.5,True,0.0,0.0,2324,1677
estados_senuelo,23.88888888888889,11,0.1,0.05,2.3999997122992056e-07,50422,50423,60422,60423,256,0,0.0,1,0.007421222133,1099,547,553,256,2,0.0078125,1,0.01039722213,840,455,458,0.008166308047398922,False,0.0,134332.29508546213,2199,1753
estados_senuelo,23.88888888888889,12,0.1,0.05,2.3999997122992056e-07,50424,50425,60424,60425,256,1,0.00390625,1,0.007261222138,1078,568,567,256,0,0.0,1,0.009181222149,856,400,434,0.5,True,0.0,0.0,2213,1690
estados_senuelo,23.88888888888889,13,0.1,0.05,2.3999997122992056e-07,50426,50427,60426,60427,256,0,0.0,1,0.00719722214,1087,548,578,256,0,0.0,1,0.009821222139,827,449,432,0.5,True,0.0,0.0,2213,1708
estados_senuelo,23.88888888888889,14,0.1,0.05,2.3999997122992056e-07,50428,50429,60428,60429,256,0,0.0,1,0.00719722214,1119,570,542,256,0,0.0,1,0.009501222144,823,486,442,0.5,True,0.0,0.0,2231,1751
estados_senuelo,23.88888888888889,15,0.1,0.05,2.3999997122992056e-07,50430,50431,60430,60431,256,1,0.00390625,1,0.007101222143,1028,532,561,256,2,0.0078125,1,0.010333222131,853,427,472,0.008166308047398922,False,0.0,127511.94419448299,2121,1752
estados_senuelo,23.88888888888889,16,0.1,0.05,2.3999997122992056e-07,50432,50433,60432,60433,256,0,0.0,1,0.007421222133,1086,603,583,256,0,0.0,1,0.009693222141,836,472,433,0.5,True,0.0,0.0,2272,1741
estados_senuelo,23.88888888888889,17,0.1,0.05,2.3999997122992056e-07,50434,50435,60434,60435,256,0,0.0,1,0.007261222138,1059,587,612,256,0,0.0,1,0.009693222141,836,414,436,0.5,True,0.0,0.0,2258,1686
estados_senuelo,23.88888888888889,18,0.1,0.05,2.3999997122992056e-07,50436,50437,60436,60437,256,0,0.0,1,0.006973222147,1066,542,535,256,0,0.0,1,0.010269222132,879,458,438,0.5,True,0.0,0.0,2143,1775
estados_senuelo,23.88888888888889,19,0.1,0.05,2.3999997122992056e-07,50438,50439,60438,60439,256,0,0.0,1,0.007101222143,1042,521,581,256,0,0.0,1,0.009821222139,814,443,451,0.5,True,0.0,0.0,2144,1708
estados_senuelo,23.88888888888889,20,0.1,0.05,2.3999997122992056e-07,50440,50441,60440,60441,256,1,0.00390625,1,0.0075492221289999994,1135,557,635,256,3,0.01171875,1,0.00975722214,818,464,429,0.012279583263700777,False,0.0,123593.29512693064,2327,1711
estados_senuelo,23.88888888888889,21,0.1,0.05,2.3999997122992056e-07,50442,50443,60442,60443,256,0,0.0,1,0.0073892221339999994,1144,594,548,256,0,0.0,1,0.009949222137,862,405,445,0.5,True,0.0,0.0,2286,1712
estados_senuelo,23.88888888888889,22,0.1,0.05,2.3999997122992056e-07,50444,50445,60444,60445,256,0,0.0,1,0.007101222143,1061,590,554,256,0,0.0,1,0.010589222127,870,483,495,0.5,True,0.0,0.0,2205,1848
estados_senuelo,23.88888888888889,23,0.1,0.05,2.3999997122992056e-07,50446,50447,60446,60447,256,1,0.00390625,1,0.007133222142,1122,527,551,256,0,0.0,1,0.009501222144,779,413,441,0.5,True,0.0,0.0,2200,1633
