experimento,indice_punto,repeticion,variable,semilla_alice,semilla_bob,distancia_km,atenuacion_db_km,eficiencia_detector,conteos_oscuros_hz,mu,frecuencia_hz,visibilidad,longitud_clave_bits,claves_solicitadas,claves_completadas,horizonte_s,retardo_clasico_extra_s,corrida_completa,pulsos_emitidos,clics,slots_con_clic,slots_validos,slots_validos_con_bases_comparadas,bits_observados_con_bases_coincidentes,bits_tamizados,errores,qber,tasa_tamizada_bps,tiempo_hasta_ultima_clave_s,fraccion_tamizado,ganancia_clic_observada,tasa_clics_bps,contabilidad_consistente,distancia_km_barrida,proxy_asintotico_monofotonico_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps,eficiencia_barrida,conteos_oscuros_barridos_hz,retardo_clasico_extra_ps,visibilidad_barrida,intensidad_media_fotones,intensidad_senuelo,mu_referencia,mu_senal,nu_debil,y0,corrida_pareada_completa,E_reference,E_mu,E_nu,q_reference,q_mu,q_nu,y1_cota_inferior,e1_cota_superior,q1_cota_inferior,e1_clamp_limite_fisico,tasa_sin_senuelos_referencia_bps,tasa_sin_senuelos_pareada_bps,tasa_con_senuelos_bps
distancia,0,0,1.0,10000,10001,1.0,0.2,0.1,100.0,0.1,80000000.0,0.98,2048,3,3,2.0,0.001,True,512000,35201,34904,25390,16829,7636,6144,11,0.0017903645833333333,831056.4061685017,0.007392999987,0.4537405668786024,0.068171875,4721222.786605694,True,1.0,797095.8563788437,18833,8984,8846,36663,2.9999995498908305e-07,380190.6912620767,,,,,,,,,,,,,,,,,,,,,,,,
distancia,0,1,1.0,10002,10003,1.0,0.2,0.1,100.0,0.1,80000000.0,0.98,2048,3,3,2.0,0.001,True,512000,35328,35032,25346,16996,7726,6144,8,0.0013020833333333333,831056.4061685017,0.007392999987,0.4545775476582725,0.068421875,4738536.461734205,True,1.0,805283.1496710222,18787,8980,9001,36768,2.9999995498908305e-07,380190.6912620767,,,,,,,,,,,,,,,,,,,,,,,,
distancia,0,2,1.0,10004,10005,1.0,0.2,0.1,100.0,0.1,80000000.0,0.98,2048,3,3,2.0,0.001,True,512000,35149,34848,25046,16728,7667,6144,12,0.001953125,831056.4061685017,0.007392999987,0.4583333333333333,0.0680625,4713648.053736971,True,1.0,794449.0595001143,18617,9013,9045,36675,2.9999995498908305e-07,380190.6912620767,,,,,,,,,,,,,,,,,,,,,,,,
distancia,0,3,1.0,10006,10007,1.0,0.2,0.1,100.0,0.1,80000000.0,0.98,2048,3,3,2.0,0.001,True,512000,35422,35126,25289,17005,7683,6144,12,0.001953125,831056.4061685017,0.007392999987,0.45180829167891795,0.06860546875,4751251.191906705,True,1.0,794449.0595001143,18683,9154,9028,36865,2.9999995498908305e-07,380190.6912620767,,,,,,,,,,,,,,,,,,,,,,,,
distancia,0,4,1.0,10008,10009,1.0,0.2,0.1,100.0,0.1,80000000.0,0.98,2048,3,3,2.0,0.001,True,512000,35255,34951,25191,16749,7635,6144,14,0.0022786458333333335,831056.4061685017,0.007392999987,0.4558481103349454,0.068263671875,4727580.151691944,True,1.0,789258.4610028913,18682,8994,9029,36705,2.9999995498908305e-07,380190.6912620767,,,,,,,,,,,,,,,,,,,,,,,,
distancia,0,5,1.0,10010,10011,1.0,0.2,0.1,100.0,0.1,80000000.0,0.98,2048,3,3,2.0,0.001,True,512000,35286,35005,25366,16906,7636,6144,14,0.0022786458333333335,831056.4061685017,0.007392999987,0.45167396190701525,0.068369140625,4734884.358386785,True,1.0,789258.4610028913,18867,8928,8881,36676,2.9999995498908305e-07,380190.6912620767,,,,,,,,,,,,,,,,,,,,,,,,
distancia,0,6,1.0,10012,10013,1.0,0.2,0.1,100.0,0.1,80000000.0,0.98,2048,3,3,2.0,0.001,True,512000,35282,34992,25420,16970,7674,6144,14,0.0022786458333333335,831056.4061685017,0.007392999987,0.4522097819681791,0.06834375,4733125.938256545,True,1.0,789258.4610028913,18853,8963,8893,36709,2.9999995498908305e-07,380190.6912620767,,,,,,,,,,,,,,,,,,,,,,,,
distancia,0,7,1.0,10014,10015,1.0,0.2,0.1,100.0,0.1,80000000.0,0.98,2048,3,3,2.0,0.001,True,512000,35076,34791,25110,16742,7697,6144,16,0.0026041666666666665,831056.4061685017,0.007392999987,0.45974196631226855,0.067951171875,4705938.057781306,True,1.0,784188.9819101882,18711,8940,8955,36606,2.9999995498908305e-07,380190.6912620767,,,,,,,,,,,,,,,,,,,,,,,,
distancia,0,8,1.0,10016,10017,1.0,0.2,0.1,100.0,0.1,80000000.0,0.98,2048,3,3,2.0,0.001,True,532480,36660,36366,26354,17844,8008,6144,8,0.0013020833333333333,803242.2553595754,0.007648999986,0.44877830082941045,0.06829552283653846,4754346.982162487,True,1.0,778331.5892202678,19510,9341,9301,38152,2.9999995498908305e-07,380190.6912620767,,,,,,,,,,,,,,,,,,,,,,,,
distancia,0,9,1.0,10018,10019,1.0,0.2,0.1,100.0,0.1,80000000.0,0.98,2048,3,3,2.0,0.001,True,512000,35403,35091,25184,16868,7676,6144,10,0.0016276041666666667,831056.4061685017,0.007392999987,0.4550628408821437,0.068537109375,4746516.983863752,True,1.0,799781.0940066994,18626,8982,9258,36866,2.9999995498908305e-07,380190.6912620767,,,,,,,,,,,,,,,,,,,,,,,,
